"Player","Season","Team","Shots","OnTarget","Dist","Unassisted","Goals","xG","xPlacement","G.xG","KeyP","Dist.key","Assts","xA","A.xA","xG.xA","xG.Chain","xGC.96","xBuildup.GC","xBuildup.GC.96","xBuildup.Perc","Min","UnAst.Perc","G.A","Touch.Perc","Shtp96","xGp96","KPp96","xAp96","xG.xAp96","Pos","Base.Salary","Guaranteed.Compensation","OnTarget.Perc"
"Aaron Guillen",2017,"FCD",2,0,23.7495623266778,0.5,0,0.0943744084544415,-0.0943744084544415,-0.0943744084544415,1,23.2558293767391,0,0.0608590992197864,-0.0608590992197864,0.155233507674228,0.8,0.19,0.65,0.16,80.7,396,50,0,7.2,0.48,0.02,0.24,0.01,0.04,"D",54075,54075,0
"Aaron Kovar",2017,"SEA",10,1,21.6319383441785,0.2,0,0.996695539047831,-0.769357053721529,-0.996695539047831,1,7.33200006819421,0,0.128834824500582,-0.128834824500582,1.12553036354841,1.82,0.79,0.66,0.29,36.4,222,20,0,3.2,4.32,0.44,0.43,0.06,0.5,"M",66150,66350,0.1
"Aaron Long",2017,"NYRB",22,7,14.370166587033,0.0909090909090909,1,2.70000630668575,-0.242024150409565,-1.70000630668575,1,17.4047012327,0,0.0856125508641451,-0.0856125508641451,2.7856188575499,5.57,0.19,2.9,0.1,52.1,2828,9.1,1,7.2,0.75,0.09,0.03,0,0.09,"D",65000,65000,0.318181818181818
"Aaron Maund",2017,"RSL",8,3,10.4013072081742,0.125,1,0.754113524351394,0.770205540284976,0.245886475648606,3,25.725067949134,0,0.172645044304963,-0.172645044304963,0.926758568656356,2.12,0.17,1.19,0.09,56.2,1222,12.5,1,6.3,0.63,0.06,0.24,0.01,0.07,"D",165000,174437.5,0.375
"Abu Danladi",2017,"MIN",38,13,18.3360142789131,0.184210526315789,8,4.35058941800759,-0.098219510809205,3.64941058199241,17,22.6847196413999,2,1.18829870593775,0.811701294062247,5.53888812394534,6.46,0.42,1.51,0.1,23.4,1486,18.4,10,3.4,2.45,0.28,1.1,0.08,0.36,"F",125000.04,176000.04,0.342105263157895
"Adam Jahn",2017,"CLB",8,5,15.234402485459,0,1,1.21470584926549,0.395345585935603,-0.214705849265492,3,19.0431371333552,1,0.383096626301638,0.616903373698362,1.59780247556713,1.59,0.39,0.03,0.01,1.9,394,0,2,1.3,1.95,0.3,0.73,0.09,0.39,"F",92500,92500,0.625
"Adam Najem",2017,"PHI",1,0,18.8799741790078,1,0,0.0951365389906813,-0.0951365389906813,-0.0951365389906813,2,20.4074303650931,0,0.155443635697491,-0.155443635697491,0.250580174688172,0.64,0.36,0.51,0.28,79.1,173,100,0,3.5,0.55,0.05,1.11,0.09,0.14,"M",65000.04,65000.04,0
"Adolfo Machado",2017,"HOU",11,1,14.3123367731159,0.454545454545455,0,0.98227696813319,-0.427865574474723,-0.98227696813319,7,12.9089648881441,2,1.41894927142039,0.581050728579611,2.40122623955358,4.52,0.14,2.8,0.08,62,3165,45.5,2,8.5,0.33,0.03,0.21,0.04,0.07,"D",200004,216504,0.0909090909090909
"AJ DeLaGarza",2017,"HOU",7,1,23.8853115144062,0.571428571428571,0,0.304174491732931,-0.132922909872029,-0.304174491732931,20,18.0583384354497,3,2.23318771789982,0.766812282100175,2.53736220963276,5.68,0.2,3.54,0.12,62.2,2793,57.1,3,8.8,0.24,0.01,0.69,0.08,0.09,"D",250000,252500,0.142857142857143
"Alan Gordon",2017,"COL",24,9,11.5927633877049,0.0833333333333333,3,4.53640173350629,-0.0971882158094219,-1.53640173350629,9,19.4917029304458,3,0.949868349467273,2.05013165053273,5.48627008297356,5.5,0.57,0.45,0.05,8.2,923,8.3,6,2.6,2.5,0.47,0.94,0.1,0.57,"F",180000,180000,0.375
"Albert Rusnak",2017,"RSL",86,28,26.9574291299265,0.244186046511628,7,5.35935328150639,-0.270316060436218,1.64064671849361,98,19.2940644771324,12,7.42754236203441,4.57245763796559,12.7868956435408,18.62,0.66,7.39,0.26,39.7,2723,24.4,19,9.3,3.03,0.19,3.46,0.26,0.45,"M",825000,882812.5,0.325581395348837
"Alberth Elis",2017,"HOU",71,27,16.7568290428632,0.0563380281690141,10,9.46763636287109,0.112387133351932,0.532363637128909,24,17.5114966771513,3,4.73122095722682,-1.73122095722682,14.1988573200979,14.23,0.79,1.52,0.08,10.7,1737,5.6,13,5.8,3.92,0.52,1.33,0.26,0.78,"F",423000,423000,0.380281690140845
